name,group
Honore St & Division St,wicker_park
Wood St & Augusta Blvd,wicker_park
Leavitt St & Chicago Ave,wicker_park
California Ave & North Ave,wicker_park
Sheffield Ave & Kingsbury St,wicker_park
Leavitt St & Division St (*),wicker_park
Cherry Ave & Blackhawk St,wicker_park
Noble St & Milwaukee Ave,wicker_park
Milwaukee Ave & Wabansia Ave,wicker_park
Ashland Ave & Augusta Blvd,wicker_park
Claremont Ave & Hirsch St,wicker_park
Campbell Ave & North Ave,wicker_park
Western Ave & Division St,wicker_park
Ogden Ave & Chicago Ave,wicker_park
Damen Ave & Thomas St (Augusta Blvd),wicker_park
Marshfield Ave & Cortland St,wicker_park
Elston Ave & Wabansia Ave,wicker_park
Dayton St & North Ave,wicker_park
Wood St & Milwaukee Ave,wicker_park
Damen Ave & Pierce Ave,wicker_park
Halsted St & Clybourn Ave,wicker_park
Ashland Ave & Blackhawk St,wicker_park
Ashland Ave & Division St,wicker_park
Leavitt St & North Ave,wicker_park
Eckhart Park,wicker_park
California Ave & Division St,wicker_park
Damen Ave & Cortland St,wicker_park
Carpenter St & Huron St,wicker_park
Sheffield Ave & Willow St,wicker_park
Ashland Ave & Chicago Ave,wicker_park
Halsted St & Willow St,wicker_park
Halsted St & North Branch St,wicker_park
California Ave & Cortez St,wicker_park
Walsh Park,wicker_park
Kedzie Ave & Chicago Ave,wicker_park
Western Ave & Walton St,wicker_park
Western Ave & Winnebago Ave,wicker_park
Spaulding Ave & Armitage Ave,wicker_park
Central Park Ave & North Ave,wicker_park
Troy St & North Ave,wicker_park
Spaulding Ave & Division St,wicker_park
Albany Ave & Bloomingdale Ave,wicker_park
Halsted St & 51st St,hyde_park
Princeton Ave & Garfield Blvd,hyde_park
Halsted St & 56th St,hyde_park
State St & 54th St,hyde_park
Halsted St & 63rd St,hyde_park
Wentworth Ave & 63rd St,hyde_park
Halsted St & 69th St,hyde_park
Perry Ave & 69th St,hyde_park
Calumet Ave & 71st St,hyde_park
Elizabeth St & 59th St,hyde_park
Jeffery Blvd & 71st St,hyde_park
South Shore Dr & 71st St,hyde_park
Rhodes Ave & 71st St,hyde_park
Rainbow Beach,hyde_park
Cornell Dr & Hayes Dr,hyde_park
Jeffery Blvd & 76th St,hyde_park
Cottage Grove Ave & 71st St,hyde_park
South Shore Dr & 74th St,hyde_park
Yates Blvd & 75th St,hyde_park
Ashland Ave & 63rd St,hyde_park
Stony Island Ave & 75th St,hyde_park
Calumet Ave & 51st St,hyde_park
Cornell Ave & Hyde Park Blvd,hyde_park
Ellis Ave & 53rd St,hyde_park
Lake Park Ave & 53rd St,hyde_park
Ellis Ave & 55th St,hyde_park
MLK Jr Dr & 56th St,hyde_park
DuSable Museum,hyde_park
University Ave & 57th St,hyde_park
Museum of Science and Industry,hyde_park
Harper Ave & 59th St,hyde_park
Ellis Ave & 60th St,hyde_park
Cottage Grove Ave & 63rd St,hyde_park
Dorchester Ave & 63rd St,hyde_park
Ashland Ave & 50th St,hyde_park
Throop St & 52nd St,hyde_park
